,PLATFRMID,NAME,STATUS,OPERNAME,COMMODITY,LATITUDE,LONGITUDE,INSTALL,REMOVAL,WATERDEPTH,DISTLAND,REGION,age,kmeans_label,ahc_label,dbscan_label
1806,GOM01890,A,REMOVED,UNION OIL CO. OF CALIFORNIA,NONE,27.9874171892,-96.3544560593,1989-01-01 00:00:00+00:00,1999/11/05 00:00:00+00,114,27,GULF OF MEXICO,34.8911704312115,0,1,0
1807,GOM01891,A,REMOVED,FOREST OIL CORP.,NONE,27.904528862,-96.089478467,1989-01-01 00:00:00+00:00,2010/12/20 00:00:00+00,186,35,GULF OF MEXICO,34.8911704312115,0,1,0
1808,GOM01892,A,IN SERVICE,"BLACK ELK ENERGY OFFSHORE OPERATIONS, LLC",UNKNOWN,27.9308889904,-96.6246253968,1989-01-01 00:00:00+00:00,,84,16,GULF OF MEXICO,34.8911704312115,0,1,0
1809,GOM01893,A,REMOVED,"MERIT ENERGY CO., LLC",NONE,28.4005753519,-96.0422035462,1989-01-01 00:00:00+00:00,2011/07/16 00:00:00+00,64,12,GULF OF MEXICO,34.8911704312115,0,1,0
1810,GOM01894,JA,IN SERVICE,"PEREGRINE OIL & GAS II, LLC",NONE,26.842477355,-96.9802956708,1989-01-01 00:00:00+00:00,,155,22,GULF OF MEXICO,34.8911704312115,0,1,0
1811,GOM01895,A,REMOVED,"MERIT ENERGY CO., LLC",NONE,28.0225097119,-96.3073648604,1989-01-01 00:00:00+00:00,2008/09/29 00:00:00+00,104,23,GULF OF MEXICO,34.8911704312115,0,1,0
1812,GOM01896,A,REMOVED,"W & T OFFSHORE, INC.",NONE,27.9099207932,-96.3273931021,1989-01-01 00:00:00+00:00,2003/08/06 00:00:00+00,140,30,GULF OF MEXICO,34.8911704312115,0,1,0
1813,GOM01897,2,REMOVED,GOM SHELF LLC,NONE,28.090788307,-96.2861645735,1989-01-01 00:00:00+00:00,2005/05/22 00:00:00+00,94,28,GULF OF MEXICO,34.8911704312115,0,1,0
1814,GOM01898,A,REMOVED,THE HOUSTON EXPLORATION CO.,NONE,28.0155296683,-96.2539091437,1989-01-01 00:00:00+00:00,2000/09/16 00:00:00+00,123,25,GULF OF MEXICO,34.8911704312115,0,1,0
1815,GOM01899,A,REMOVED,"MARINER ENERGY, INC.",NONE,27.7494966377,-96.7688450475,1989-01-01 00:00:00+00:00,2010/11/16 00:00:00+00,93,18,GULF OF MEXICO,34.8911704312115,0,1,0
1816,GOM01900,A,REMOVED,ANADARKO E&P CO. LP,NONE,26.9355982301,-96.7527535189,1989-01-01 00:00:00+00:00,1995/09/22 00:00:00+00,248,40,GULF OF MEXICO,34.8911704312115,0,1,0
1817,GOM01901,2,REMOVED,MURPHY EXPLORATION & PRODUCTION CO.,NONE,28.186167602,-96.2022898718,1989-01-01 00:00:00+00:00,1998/07/22 00:00:00+00,83,15,GULF OF MEXICO,34.8911704312115,0,1,0
1818,GOM01902,A,REMOVED,"SAMSON CONTOUR ENERGY E&P, LLC",NONE,28.1370055589,-96.2416195512,1989-01-01 00:00:00+00:00,2005/09/17 00:00:00+00,92,21,GULF OF MEXICO,34.8911704312115,0,1,0
1819,GOM01903,A,REMOVED,"MERIT ENERGY CO., LLC",NONE,27.9691164686,-96.2911627884,1990-01-01 00:00:00+00:00,2010/06/22 00:00:00+00,126,27,GULF OF MEXICO,33.89185489390828,0,1,0
1820,GOM01904,B,REMOVED,"MERIT ENERGY CO., LLC",NONE,27.994541404,-96.2598871577,1990-01-01 00:00:00+00:00,2008/10/02 00:00:00+00,126,25,GULF OF MEXICO,33.89185489390828,0,1,0
1821,GOM01905,10,REMOVED,MURPHY EXPLORATION & PRODUCTION CO. - USA,NONE,28.1348765974,-96.237943439,1990-01-01 00:00:00+00:00,1998/07/17 00:00:00+00,87,21,GULF OF MEXICO,33.89185489390828,0,1,0
1822,GOM01906,1,REMOVED,"ENERGY RESOURCE TECHNOLOGY GOM, INC.",NONE,28.1466489505,-96.2079427228,1990-01-01 00:00:00+00:00,2011/05/15 00:00:00+00,88,18,GULF OF MEXICO,33.89185489390828,0,1,0
1823,GOM01907,14,REMOVED,"ENERGY RESOURCE TECHNOLOGY GOM, INC.",NONE,28.1466421203,-96.2078939515,2004-07-18 00:00:00+00:00,2011/05/15 00:00:00+00,88,18,GULF OF MEXICO,19.34839151266256,0,1,0
1824,GOM01908,C,REMOVED,GOM SHELF LLC,NONE,28.063841293,-96.4890777903,1991-02-15 00:00:00+00:00,2010/08/08 00:00:00+00,73,14,GULF OF MEXICO,32.76933607118412,0,1,0
1825,GOM01909,B,REMOVED,"FAIRWAYS OFFSHORE EXPLORATION, INC.",NONE,27.9576842583,-96.354048627,1990-01-01 00:00:00+00:00,2002/12/11 00:00:00+00,119,26,GULF OF MEXICO,33.89185489390828,0,1,0
1826,GOM01910,H,REMOVED,GOM SHELF LLC,NONE,28.0369999405,-96.4541274901,1990-01-01 00:00:00+00:00,2005/07/01 00:00:00+00,88,17,GULF OF MEXICO,33.89185489390828,0,1,0
1827,GOM01911,A,REMOVED,"ROOSTER PETROLEUM, LLC",NONE,28.1967778337,-96.3244342312,1990-01-01 00:00:00+00:00,2010/03/04 00:00:00+00,76,10,GULF OF MEXICO,33.89185489390828,0,1,0
1828,GOM01912,A,REMOVED,"MERIT ENERGY CO., LLC",NONE,27.2841922646,-96.9799773867,1990-01-01 00:00:00+00:00,2012/07/23 00:00:00+00,120,21,GULF OF MEXICO,33.89185489390828,0,1,0
1829,GOM01913,4,REMOVED,APACHE CORP.,NONE,28.108094124,-96.3916778026,1990-01-01 00:00:00+00:00,2009/08/23 00:00:00+00,80,17,GULF OF MEXICO,33.89185489390828,0,1,0
1830,GOM01914,C,REMOVED,GOM SHELF LLC,NONE,28.1031208332,-96.2708611857,1990-01-01 00:00:00+00:00,2005/06/24 00:00:00+00,93,17,GULF OF MEXICO,33.89185489390828,0,1,0
1831,GOM01915,1,REMOVED,"MARITECH RESOURCES, INC.",NONE,27.9359909194,-96.6460400633,1990-01-01 00:00:00+00:00,2006/09/02 00:00:00+00,81,14,GULF OF MEXICO,33.89185489390828,0,1,0
1832,GOM01916,JA,REMOVED,APACHE CORP.,NONE,27.1550518318,-96.8476939451,1990-01-01 00:00:00+00:00,2012/10/12 00:00:00+00,190,31,GULF OF MEXICO,33.89185489390828,0,1,0
1833,GOM01917,A,REMOVED,"MARINER ENERGY, INC.",NONE,28.1223402339,-96.1484999306,1990-01-01 00:00:00+00:00,2010/11/08 00:00:00+00,97,20,GULF OF MEXICO,33.89185489390828,0,1,0
1834,GOM01918,A,REMOVED,GOM SHELF LLC,NONE,28.0576013599,-96.4905926562,1991-01-01 00:00:00+00:00,2010/08/08 00:00:00+00,77,15,GULF OF MEXICO,32.89253935660506,0,1,0
1835,GOM01919,B,IN SERVICE,FIELDWOOD ENERGY LLC,UNKNOWN,27.6078664357,-96.2539398437,1991-01-01 00:00:00+00:00,,300,47,GULF OF MEXICO,32.89253935660506,0,1,0
1836,GOM01920,F,REMOVED,GOM SHELF LLC,NONE,28.068271891,-96.4734951533,1992-02-17 00:00:00+00:00,2011/01/07 00:00:00+00,81,14,GULF OF MEXICO,31.76454483230664,0,1,0
1837,GOM01921,A,REMOVED,"ENVEN ENERGY VENTURES, LLC",NONE,26.9585458574,-96.8107614737,1991-01-01 00:00:00+00:00,2013/07/08 00:00:00+00,220,34,GULF OF MEXICO,32.89253935660506,0,1,0
